Sr No.,Student Name,Registration No.,Department,University,Degree Level,Country,City,Semester,Section,No. of Pending Courses,Pending Type,Pending Courses Name
6225,Liam Das,MASTER21-PST-026,Psychology,Harvard University,Master,United States,Boston,5th,B,1,Withdraw,Research Methodology
6226,Daniel Singh,BS22-ME-067,Mechanical Engineering,King Saud University,BS,Saudi Arabia,Riyadh,7th,C,2,Not Registered,"Pakistan Studies, Control Systems"
6227,Ravi Haider,MS21-PST-158,Psychology,Technical University of Munich,MS,Germany,Aachen,6th,A,2,Fail,"Islamic Studies / Ethics, Pakistan Studies"
6228,Abdul Al-Mansoori,MS23-MST-212,Mathematics,United Arab Emirates University,MS,United Arab Emirates,Sharjah,5th,C,0,All Clear,None
6229,Sofia Ali,BS25-SE-086,Software Engineering,Imperial College London,BS,United Kingdom,Manchester,3rd,B,0,All Clear,None
6230,Carlos Das,BS25-CS-203,Computer Science,Indian Institute of Science (IISc),BS,India,Mumbai,7th,B,0,All Clear,None
6231,Min-jun Khan,MASTER21-PST-052,Psychology,Massachusetts Institute of Technology (MIT),Master,United States,Boston,4th,C,0,All Clear,None
6232,Ravi Tan,MPHIL22-BA-039,Business Administration,University of Queensland,Mphil,Australia,Melbourne,5th,A,0,All Clear,None
6233,Fatima Malik,PHD22-SE-153,Software Engineering,Indian Institute of Technology (IIT) Delhi,PhD,India,Mumbai,6th,C,1,Not Registered,Professional Ethics
6234,David Singh,BS25-SE-157,Software Engineering,University of the Punjab,BS,Pakistan,Karachi,3rd,D,0,All Clear,None
6235,Min-jun Jones,MPHIL24-EST-042,Economics,All India Institute of Medical Sciences (AIIMS),Mphil,India,Mumbai,6th,D,1,Not Registered,Public Finance
6236,Siddharth Lopez,MS21-EST-025,Economics,Universiti Teknologi Malaysia,MS,Malaysia,Johor Bahru,8th,B,0,All Clear,None
6237,Emily Kim,MASTER23-MST-071,Mathematics,University College London (UCL),Master,United Kingdom,Edinburgh,5th,A,0,All Clear,None
6238,Amit Smith,MS25-SE-006,Software Engineering,American University of Sharjah,MS,United Arab Emirates,Al Ain,2nd,C,0,All Clear,None
6239,Noah Martinez,MASTER21-ME-055,Mechanical Engineering,Imperial College London,Master,United Kingdom,London,3rd,C,0,All Clear,None
6240,Muhammad Singh,MS22-CE-052,Civil Engineering,University of Oxford,MS,United Kingdom,Cambridge,6th,C,2,Fail,"Fluid Mechanics, Structural Analysis"
6241,Muhammad Fischer,MPHIL22-ME-051,Mechanical Engineering,Heidelberg University,Mphil,Germany,Karlsruhe,1st,D,0,All Clear,None
6242,Syed Garcia,PHD21-SE-209,Software Engineering,Universiti Teknologi Malaysia,PhD,Malaysia,Penang,6th,A,1,Not Registered,Pakistan Studies
6243,Zain Patel,MS22-DA-176,Data Analytics,Universiti Teknologi Malaysia,MS,Malaysia,Kuala Lumpur,1st,D,0,All Clear,None
6244,Yusuf Kumar,MASTER21-CS-217,Computer Science,COMSATS University Islamabad,Master,Pakistan,Faisalabad,8th,D,2,Not Registered,"Programming Fundamentals, Critical Thinking"
6245,Mia Sharma,BS25-SE-020,Software Engineering,Ludwig Maximilian University of Munich,BS,Germany,Heidelberg,2nd,D,0,All Clear,None
6246,Yusuf Lopez,PHD24-SST-226,Statistics,University of Alberta,PhD,Canada,Edmonton,3rd,B,0,All Clear,None
6247,Sneha Smith,MASTER23-SST-127,Statistics,McGill University,Master,Canada,Waterloo,1st,D,0,All Clear,None
6248,John Davis,PHD23-MST-152,Mathematics,Australian National University,PhD,Australia,Brisbane,4th,A,0,All Clear,None
6249,Emily Hussein,PHD22-ME-175,Mechanical Engineering,University of Cambridge,PhD,United Kingdom,Oxford,8th,A,0,All Clear,None
6250,Emma Al-Mansoori,MASTER21-CS-063,Computer Science,McGill University,Master,Canada,Montreal,7th,A,0,All Clear,None
6251,Emily Kumar,MASTER21-EST-205,Economics,American University of Sharjah,Master,United Arab Emirates,Sharjah,6th,B,2,Not Registered,"Internship, Pakistan Studies"
6252,Anya Kumar,BS25-EST-072,Economics,Universiti Teknologi Malaysia,BS,Malaysia,Kuala Lumpur,7th,C,1,Dropped,Microeconomics
6253,Hamza Malik,MASTER22-DA-091,Data Analytics,Universiti Teknologi Malaysia,Master,Malaysia,Penang,6th,D,0,All Clear,None
6254,Hamza Hassan,MS25-BA-048,Business Administration,Universiti Malaya (UM),MS,Malaysia,Kuala Lumpur,1st,B,1,Dropped,Critical Thinking
6255,Ravi Müller,PHD24-DA-132,Data Analytics,Khalifa University,PhD,United Arab Emirates,Sharjah,2nd,B,0,All Clear,None
6256,Ahmad Khan,MS22-MST-141,Mathematics,King Fahd University of Petroleum and Minerals,MS,Saudi Arabia,Jeddah,7th,D,0,All Clear,None
6257,Michael Singh,BS23-DA-017,Data Analytics,Georgia Institute of Technology,BS,United States,Berkeley,6th,A,0,All Clear,None
6258,Jessica Hassan,MASTER23-EST-165,Economics,Universiti Teknologi Malaysia,Master,Malaysia,Johor Bahru,3rd,C,0,All Clear,None
6259,Siddharth Rodriguez,MS21-SST-092,Statistics,King Abdulaziz University,MS,Saudi Arabia,Dhahran,5th,C,0,All Clear,None
6260,Zahra Patel,BS24-DA-091,Data Analytics,University College London (UCL),BS,United Kingdom,London,7th,A,1,Fail,Islamic Studies / Ethics
6261,Fatima Taylor,PHD24-DS-135,Data Science,University of engineering and Technology (UET) Lahore,PhD,Pakistan,Karachi,1st,D,2,Withdraw,"Deep Learning, Introduction to Data Science"
6262,John Wong,MASTER24-GD-224,Graphic Design,Universiti Teknologi Malaysia,Master,Malaysia,Johor Bahru,7th,A,0,All Clear,None
6263,Ananya Williams,PHD25-EST-011,Economics,Lahore University of Management Sciences (LUMS),PhD,Pakistan,Karachi,1st,A,0,All Clear,None
6264,Noah Kumar,MPHIL22-SE-030,Software Engineering,National University of Sciences and Technology (NUST),Mphil,Pakistan,Lahore,7th,D,1,Not Registered,Communication Skills
6265,Sneha Kumar,MPHIL23-DS-117,Data Science,Imperial College London,Mphil,United Kingdom,London,1st,D,0,All Clear,None
6266,Mia Singh,MPHIL21-SE-221,Software Engineering,American University of Sharjah,Mphil,United Arab Emirates,Al Ain,4th,D,0,All Clear,None
6267,Emily Davis,MPHIL21-CE-200,Civil Engineering,UNSW Sydney,Mphil,Australia,Melbourne,3rd,B,0,All Clear,None
6268,Priya Kumar,BS22-GD-239,Graphic Design,King Saud University,BS,Saudi Arabia,Jeddah,1st,A,0,All Clear,None
6269,Ravi Brown,MPHIL24-CS-151,Computer Science,Indian Institute of Technology (IIT) Bombay,Mphil,India,Kolkata,3rd,A,0,All Clear,None
6270,Sophia Johnson,MPHIL25-ME-078,Mechanical Engineering,Universiti Penyelidikan,Mphil,Malaysia,Kuala Lumpur,4th,A,0,All Clear,None
6271,Min-jun Smith,MPHIL22-MST-056,Mathematics,University of the Punjab,Mphil,Pakistan,Lahore,2nd,C,1,Dropped,Differential Equations
6272,Liam Martinez,MASTER21-PST-019,Psychology,Technical University of Munich,Master,Germany,Aachen,3rd,A,0,All Clear,None
6273,Omar Kim,MS22-BA-104,Business Administration,RWTH Aachen University,MS,Germany,Karlsruhe,4th,D,0,All Clear,None
6274,Muhammad Hernandez,PHD25-CS-113,Computer Science,COMSATS University Islamabad,PhD,Pakistan,Rawalpindi,1st,B,1,Fail,Database Systems
6275,Zain Sharma,MASTER24-DS-160,Data Science,University of Toronto,Master,Canada,Montreal,6th,C,0,All Clear,None
6276,Lucas Haider,BS25-EST-249,Economics,University of Cambridge,BS,United Kingdom,Manchester,2nd,B,0,All Clear,None
6277,Mia Shah,BS21-CE-117,Civil Engineering,Universiti Malaya (UM),BS,Malaysia,Penang,2nd,B,0,All Clear,None
6278,Sneha Jones,PHD22-SE-021,Software Engineering,RWTH Aachen University,PhD,Germany,Berlin,8th,D,2,Not Registered,"Critical Thinking, Web Engineering"
6279,Amit Hernandez,MASTER24-SE-229,Software Engineering,McGill University,Master,Canada,Toronto,6th,D,1,Withdraw,Pakistan Studies
6280,Jessica Fischer,BS23-ME-091,Mechanical Engineering,Stanford University,BS,United States,Stanford,1st,A,0,All Clear,None
6281,Ravi Khan,MPHIL24-MST-028,Mathematics,McGill University,Mphil,Canada,Waterloo,3rd,D,3,Fail,"Islamic Studies / Ethics, Calculus II, Differential Equations"
6282,Priya Smith,MPHIL23-GD-092,Graphic Design,Massachusetts Institute of Technology (MIT),Mphil,United States,Cambridge,3rd,D,0,All Clear,None
6283,Amara Rodriguez,MS24-CS-082,Computer Science,University of Sydney,MS,Australia,Canberra,1st,B,0,All Clear,None
6284,Daniel Martinez,PHD24-DA-009,Data Analytics,Universiti Penyelidikan,PhD,Malaysia,Penang,3rd,D,1,Dropped,Data Mining
6285,Liam Hussein,MS21-CS-090,Computer Science,Stanford University,MS,United States,Atlanta,3rd,B,0,All Clear,None
6286,Jessica Davis,PHD22-CS-031,Computer Science,Imperial College London,PhD,United Kingdom,Oxford,8th,C,0,All Clear,None
6287,Omar Al-Mansoori,MS21-PST-052,Psychology,United Arab Emirates University,MS,United Arab Emirates,Al Ain,3rd,D,0,All Clear,None
6288,Carlos Singh,PHD23-CS-059,Computer Science,University of the Punjab,PhD,Pakistan,Rawalpindi,2nd,C,2,Withdraw,"Theory of Automata, Pakistan Studies"
6289,Sophia Lee,MASTER23-ME-035,Mechanical Engineering,University of Alberta,Master,Canada,Toronto,4th,A,0,All Clear,None
6290,Emily Schmidt,MPHIL22-ME-104,Mechanical Engineering,Heidelberg University,Mphil,Germany,Heidelberg,7th,C,0,All Clear,None
6291,David Fischer,MS21-EST-213,Economics,UNSW Sydney,MS,Australia,Brisbane,8th,C,0,All Clear,None
6292,Lucas Williams,BS21-GD-231,Graphic Design,Indian Institute of Science (IISc),BS,India,New Delhi,1st,B,0,All Clear,None
6293,Carlos Al-Farsi,BS22-DS-122,Data Science,"University of California, Berkeley",BS,United States,Boston,5th,D,0,All Clear,None
6294,Muhammad Al-Mansoori,MASTER22-CS-145,Computer Science,University of engineering and Technology (UET) Lahore,Master,Pakistan,Islamabad,1st,B,2,Dropped,"Computer Networks, Pakistan Studies"
6295,Hamza Malik,PHD24-DA-029,Data Analytics,Indian Institute of Technology (IIT) Delhi,PhD,India,Chennai,6th,A,0,All Clear,None
6296,Siddharth Smith,MPHIL24-PST-069,Psychology,King Fahd University of Petroleum and Minerals,Mphil,Saudi Arabia,Dhahran,2nd,D,0,All Clear,None
6297,Amit Sharma,MPHIL21-BA-231,Business Administration,American University of Sharjah,Mphil,United Arab Emirates,Sharjah,5th,B,0,All Clear,None
6298,Daniel Tan,MASTER24-ME-144,Mechanical Engineering,Universiti Teknologi Malaysia,Master,Malaysia,Johor Bahru,5th,C,1,Fail,Kinematics of Machinery
6299,Olivia Brown,MASTER23-CE-095,Civil Engineering,Heidelberg University,Master,Germany,Heidelberg,7th,D,0,All Clear,None
6300,Ahmad Miller,MS24-ME-244,Mechanical Engineering,University of Toronto,MS,Canada,Waterloo,3rd,A,0,All Clear,None
6301,Emma Taylor,MPHIL23-ME-247,Mechanical Engineering,Georgia Institute of Technology,Mphil,United States,Berkeley,1st,D,1,Fail,Professional Ethics
6302,Siddharth Tan,BS25-CS-047,Computer Science,Universiti Penyelidikan,BS,Malaysia,Penang,5th,C,0,All Clear,None
6303,Ji-woo Rodriguez,MS25-DS-224,Data Science,All India Institute of Medical Sciences (AIIMS),MS,India,Mumbai,4th,C,0,All Clear,None
6304,Emma Ali,MS22-SE-122,Software Engineering,King Abdulaziz University,MS,Saudi Arabia,Jeddah,6th,A,1,Withdraw,English Composition
6305,Sofia Anderson,BS25-CS-120,Computer Science,Georgia Institute of Technology,BS,United States,Stanford,5th,A,0,All Clear,None
6306,David Johnson,MPHIL24-BA-241,Business Administration,Technical University of Munich,Mphil,Germany,Aachen,8th,A,0,All Clear,None
6307,Ananya Brown,MS21-MST-222,Mathematics,University of Queensland,MS,Australia,Canberra,1st,A,0,All Clear,None
6308,Ji-woo Al-Farsi,PHD23-ME-208,Mechanical Engineering,Universiti Malaya (UM),PhD,Malaysia,Penang,6th,B,1,Dropped,Professional Ethics
6309,Abdul Schneider,MS24-DA-061,Data Analytics,Indian Institute of Technology (IIT) Bombay,MS,India,Bangalore,6th,C,4,Withdraw,"Pakistan Studies, English Composition, Quantitative Methods for Decision Making, Time Series Analysis"
6310,Fatima Kumar,BS23-EST-112,Economics,Lahore University of Management Sciences (LUMS),BS,Pakistan,Karachi,7th,A,0,All Clear,None
6311,Emily Haider,MPHIL23-SST-048,Statistics,Universiti Penyelidikan,Mphil,Malaysia,Johor Bahru,8th,C,0,All Clear,None
6312,James Gonzalez,MASTER23-DS-123,Data Science,Imperial College London,Master,United Kingdom,Manchester,6th,B,0,All Clear,None
6313,Syed Wong,PHD23-MST-190,Mathematics,Karlsruhe Institute of Technology,PhD,Germany,Aachen,5th,C,0,All Clear,None
6314,Mia Shah,MS21-CE-077,Civil Engineering,University College London (UCL),MS,United Kingdom,Manchester,1st,B,0,All Clear,None
6315,Sophia Gonzalez,BS24-DS-029,Data Science,University of engineering and Technology (UET) Lahore,BS,Pakistan,Rawalpindi,8th,A,0,All Clear,None
6316,Abdul Davis,MPHIL21-PST-100,Psychology,Khalifa University,Mphil,United Arab Emirates,Dubai,3rd,C,0,All Clear,None
6317,Min-jun Kumar,PHD23-CS-162,Computer Science,University of Oxford,PhD,United Kingdom,Oxford,1st,B,0,All Clear,None
6318,Abdul Müller,BS23-PST-202,Psychology,Australian National University,BS,Australia,Melbourne,3rd,A,0,All Clear,None
6319,Liam Hassan,MASTER25-CS-233,Computer Science,Indian Institute of Technology (IIT) Bombay,Master,India,Kolkata,5th,B,0,All Clear,None
6320,Daniel Martinez,PHD24-GD-016,Graphic Design,King Fahd University of Petroleum and Minerals,PhD,Saudi Arabia,Jeddah,1st,C,1,Withdraw,Islamic Studies / Ethics
6321,Emma Hassan,MPHIL23-GD-111,Graphic Design,Universiti Teknologi Malaysia,Mphil,Malaysia,Johor Bahru,2nd,C,0,All Clear,None
6322,Zain Schmidt,MPHIL21-SE-201,Software Engineering,Karlsruhe Institute of Technology,Mphil,Germany,Munich,6th,B,0,All Clear,None
6323,Amit Al-Mansoori,MPHIL24-DA-208,Data Analytics,RWTH Aachen University,Mphil,Germany,Munich,5th,A,0,All Clear,None
6324,Hamza Haider,MPHIL24-MST-149,Mathematics,Indian Institute of Technology (IIT) Delhi,Mphil,India,Chennai,5th,D,0,All Clear,None
6325,Anya Wilson,PHD25-GD-177,Graphic Design,University of Toronto,PhD,Canada,Waterloo,6th,D,0,All Clear,None
6326,Priya Hassan,MPHIL25-MST-016,Mathematics,UNSW Sydney,Mphil,Australia,Canberra,7th,C,0,All Clear,None
6327,Abdul Martinez,MASTER21-CE-182,Civil Engineering,University of Oxford,Master,United Kingdom,Manchester,5th,D,2,Fail,"Pakistan Studies, Environmental Engineering"
6328,Emma Lopez,MASTER23-BA-242,Business Administration,Universiti Penyelidikan,Master,Malaysia,Kuala Lumpur,5th,B,1,Withdraw,Human Resource Management
6329,Jessica Ali,MS25-SST-208,Statistics,University of British Columbia,MS,Canada,Waterloo,8th,C,0,All Clear,None
6330,Min-jun Brown,PHD22-MST-160,Mathematics,University of Queensland,PhD,Australia,Sydney,2nd,D,0,All Clear,None
6331,Rahul Williams,MS24-MST-246,Mathematics,American University of Sharjah,MS,United Arab Emirates,Abu Dhabi,8th,D,0,All Clear,None
6332,Aisha Jones,MASTER22-CS-205,Computer Science,Khalifa University,Master,United Arab Emirates,Al Ain,3rd,B,0,All Clear,None
6333,Sneha Smith,MS24-SE-220,Software Engineering,University of Alberta,MS,Canada,Toronto,3rd,C,0,All Clear,None
6334,Jessica Khan,MPHIL24-ME-001,Mechanical Engineering,United Arab Emirates University,Mphil,United Arab Emirates,Al Ain,6th,C,0,All Clear,None
6335,Mia Lee,MASTER25-EST-191,Economics,Universiti Teknologi Malaysia,Master,Malaysia,Kuala Lumpur,1st,A,0,All Clear,None
6336,Jessica Hernandez,BS25-GD-035,Graphic Design,All India Institute of Medical Sciences (AIIMS),BS,India,New Delhi,8th,D,0,All Clear,None
6337,Liam Schmidt,MPHIL24-MST-181,Mathematics,University of Melbourne,Mphil,Australia,Melbourne,7th,C,1,Dropped,Linear Algebra
6338,Daniel Davis,BS25-DS-022,Data Science,National University of Sciences and Technology (NUST),BS,Pakistan,Islamabad,2nd,D,0,All Clear,None
6339,Mia Wilson,MS21-CS-180,Computer Science,University of Sydney,MS,Australia,Canberra,5th,D,0,All Clear,None
6340,Amit Johnson,MS21-DS-150,Data Science,Universiti Penyelidikan,MS,Malaysia,Kuala Lumpur,8th,A,0,All Clear,None
6341,Ravi Khan,BS23-GD-207,Graphic Design,King Saud University,BS,Saudi Arabia,Jeddah,7th,B,3,Dropped,"Typography, Critical Thinking, Motion Graphics"
6342,Liam Müller,MPHIL21-EST-130,Economics,King Abdulaziz University,Mphil,Saudi Arabia,Jeddah,4th,B,0,All Clear,None
6343,Min-jun Schmidt,BS24-CE-250,Civil Engineering,Indian Institute of Technology (IIT) Delhi,BS,India,Chennai,7th,B,2,Dropped,"Critical Thinking, Environmental Engineering"
6344,Daniel Patel,MPHIL22-DS-171,Data Science,University of Alberta,Mphil,Canada,Toronto,3rd,B,0,All Clear,None
6345,Priya Ali,MS25-MST-242,Mathematics,Technical University of Munich,MS,Germany,Heidelberg,5th,D,4,Withdraw,"Calculus II, English Composition, Numerical Analysis, Communication Skills"
6346,Min-jun Shah,MS25-SST-188,Statistics,Stanford University,MS,United States,Berkeley,6th,D,1,Not Registered,Internship
6347,Min-jun Lopez,MS25-EST-078,Economics,Khalifa University,MS,United Arab Emirates,Dubai,4th,D,2,Fail,"Econometrics, Microeconomics"
6348,Priya Kim,MS21-SE-031,Software Engineering,University of Oxford,MS,United Kingdom,Cambridge,2nd,A,3,Fail,"Pakistan Studies, Professional Ethics, Software Architecture and Design"
6349,Emma Wong,MS24-PST-051,Psychology,Indian Institute of Science (IISc),MS,India,Kolkata,4th,A,1,Fail,Developmental Psychology
6350,Muhammad Anderson,MS21-EST-119,Economics,Australian National University,MS,Australia,Sydney,8th,A,0,All Clear,None
6351,Ananya Anderson,MS21-SST-190,Statistics,Khalifa University,MS,United Arab Emirates,Al Ain,1st,A,0,All Clear,None
6352,Emily Wong,MASTER25-BA-006,Business Administration,Indian Institute of Science (IISc),Master,India,Chennai,3rd,A,0,All Clear,None
6353,Priya Tan,PHD22-ME-018,Mechanical Engineering,University of engineering and Technology (UET) Lahore,PhD,Pakistan,Islamabad,2nd,A,0,All Clear,None
6354,Amit Johnson,MASTER25-SST-081,Statistics,Universiti Malaya (UM),Master,Malaysia,Kuala Lumpur,3rd,C,2,Dropped,"Bayesian Statistics, Professional Ethics"
6355,Aisha Das,BS25-SE-212,Software Engineering,Heidelberg University,BS,Germany,Munich,6th,D,0,All Clear,None
6356,Min-jun Lopez,MPHIL21-CS-067,Computer Science,All India Institute of Medical Sciences (AIIMS),Mphil,India,Mumbai,4th,B,0,All Clear,None
6357,Abdul Fischer,MS24-ME-063,Mechanical Engineering,Universiti Malaya (UM),MS,Malaysia,Johor Bahru,3rd,B,0,All Clear,None
6358,Min-jun Lopez,MPHIL25-DA-025,Data Analytics,King Abdulaziz University,Mphil,Saudi Arabia,Dhahran,8th,A,0,All Clear,None
6359,Michael Wilson,MS21-PST-060,Psychology,University College London (UCL),MS,United Kingdom,Edinburgh,1st,D,0,All Clear,None
6360,Ali Hussein,MS23-PST-231,Psychology,United Arab Emirates University,MS,United Arab Emirates,Al Ain,6th,C,2,Not Registered,"Internship, Psychological Testing"
6361,David Müller,MASTER21-CE-034,Civil Engineering,"University of California, Berkeley",Master,United States,Stanford,6th,B,0,All Clear,None
6362,Ravi Schmidt,MPHIL22-GD-002,Graphic Design,Heidelberg University,Mphil,Germany,Aachen,5th,A,0,All Clear,None
6363,Ali Gonzalez,PHD21-MST-150,Mathematics,UNSW Sydney,PhD,Australia,Melbourne,3rd,C,0,All Clear,None
6364,Abdul Das,MASTER24-MST-052,Mathematics,United Arab Emirates University,Master,United Arab Emirates,Sharjah,5th,C,0,All Clear,None
6365,Ji-woo Anderson,MPHIL21-EST-237,Economics,Lahore University of Management Sciences (LUMS),Mphil,Pakistan,Rawalpindi,1st,C,0,All Clear,None
6366,Noah Brown,MPHIL24-GD-170,Graphic Design,Heidelberg University,Mphil,Germany,Aachen,2nd,C,0,All Clear,None
6367,Yusuf Garcia,PHD25-DA-069,Data Analytics,Indian Institute of Technology (IIT) Delhi,PhD,India,New Delhi,4th,C,1,Fail,Data Visualization
6368,James Al-Mansoori,PHD25-DA-176,Data Analytics,King Fahd University of Petroleum and Minerals,PhD,Saudi Arabia,Riyadh,3rd,A,0,All Clear,None
6369,Amara Müller,BS24-CS-122,Computer Science,COMSATS University Islamabad,BS,Pakistan,Lahore,6th,D,0,All Clear,None
6370,Michael Miller,MASTER21-EST-211,Economics,University of Delhi,Master,India,Bangalore,5th,C,0,All Clear,None
6371,Zahra Shah,PHD25-DA-060,Data Analytics,Karlsruhe Institute of Technology,PhD,Germany,Berlin,7th,D,2,Fail,"Big Data Analytics, Business Intelligence"
6372,Michael Ali,MS21-BA-093,Business Administration,King Abdulaziz University,MS,Saudi Arabia,Jeddah,2nd,C,1,Not Registered,Islamic Studies / Ethics
6373,Abdul Taylor,BS23-CS-118,Computer Science,King Fahd University of Petroleum and Minerals,BS,Saudi Arabia,Riyadh,1st,A,0,All Clear,None
6374,Lucas Khan,MS21-CE-038,Civil Engineering,Imperial College London,MS,United Kingdom,London,8th,C,1,Withdraw,Islamic Studies / Ethics
6375,Sophia Wong,PHD22-CE-205,Civil Engineering,King Saud University,PhD,Saudi Arabia,Jeddah,7th,A,0,All Clear,None
6376,Liam Lopez,BS22-EST-046,Economics,Imperial College London,BS,United Kingdom,Oxford,6th,C,1,Withdraw,Econometrics
6377,Rahul Fischer,MPHIL25-CE-134,Civil Engineering,Technical University of Munich,Mphil,Germany,Munich,5th,B,1,Withdraw,Pakistan Studies
6378,Priya Lee,MPHIL22-DA-168,Data Analytics,Universiti Teknologi Malaysia,Mphil,Malaysia,Kuala Lumpur,3rd,B,0,All Clear,None
6379,Rahul Al-Farsi,PHD22-PST-113,Psychology,Lahore University of Management Sciences (LUMS),PhD,Pakistan,Lahore,5th,C,0,All Clear,None
6380,Sophia Malik,MS21-DA-069,Data Analytics,King Abdulaziz University,MS,Saudi Arabia,Jeddah,5th,C,0,All Clear,None
6381,Olivia Malik,BS21-PST-029,Psychology,Indian Institute of Technology (IIT) Bombay,BS,India,Kolkata,3rd,A,0,All Clear,None
6382,Zahra Thomas,MS24-SST-205,Statistics,University College London (UCL),MS,United Kingdom,London,2nd,D,0,All Clear,None
6383,Sneha Singh,BS21-ME-096,Mechanical Engineering,University of Toronto,BS,Canada,Edmonton,6th,D,1,Withdraw,Machine Design
6384,Emily Singh,MS21-ME-122,Mechanical Engineering,McGill University,MS,Canada,Edmonton,2nd,C,0,All Clear,None
6385,Priya Haider,PHD22-CS-227,Computer Science,Indian Institute of Science (IISc),PhD,India,Chennai,1st,C,0,All Clear,None
6386,James Schneider,MPHIL24-SE-047,Software Engineering,Imperial College London,Mphil,United Kingdom,Cambridge,6th,C,0,All Clear,None
6387,Ali Schneider,MASTER22-SST-219,Statistics,University of Queensland,Master,Australia,Melbourne,5th,B,0,All Clear,None
6388,Hamza Malik,PHD21-MST-011,Mathematics,UNSW Sydney,PhD,Australia,Brisbane,7th,D,0,All Clear,None
6389,Michael Davis,MS22-PST-171,Psychology,COMSATS University Islamabad,MS,Pakistan,Lahore,1st,B,0,All Clear,None
6390,Emma Hussein,MASTER23-MST-103,Mathematics,University of Sydney,Master,Australia,Canberra,5th,C,0,All Clear,None
6391,Ahmad Ali,MPHIL22-PST-248,Psychology,University College London (UCL),Mphil,United Kingdom,Edinburgh,2nd,B,0,All Clear,None
6392,Ji-woo Al-Mansoori,MS22-GD-072,Graphic Design,McGill University,MS,Canada,Edmonton,3rd,B,1,Fail,Packaging Design
6393,Zahra Williams,BS21-GD-090,Graphic Design,University of the Punjab,BS,Pakistan,Faisalabad,8th,B,2,Fail,"Communication Skills, 3D Modeling"
6394,Aisha Müller,MASTER25-CS-093,Computer Science,Massachusetts Institute of Technology (MIT),Master,United States,Atlanta,6th,B,2,Dropped,"Pakistan Studies, Database Systems"
6395,Olivia Anderson,PHD22-DA-167,Data Analytics,University of Oxford,PhD,United Kingdom,Manchester,4th,C,0,All Clear,None
6396,Carlos Haider,BS21-PST-187,Psychology,Universiti Penyelidikan,BS,Malaysia,Kuala Lumpur,6th,B,2,Fail,"Psychological Testing, Cognitive Psychology"
6397,Anya Ali,PHD25-EST-167,Economics,University of Queensland,PhD,Australia,Brisbane,4th,B,0,All Clear,None
6398,Amara Fischer,PHD25-ME-148,Mechanical Engineering,University of Alberta,PhD,Canada,Vancouver,7th,B,0,All Clear,None
6399,Hamza Khan,MASTER23-PST-080,Psychology,COMSATS University Islamabad,Master,Pakistan,Islamabad,7th,B,0,All Clear,None
6400,Sofia Rodriguez,MPHIL25-EST-024,Economics,University of British Columbia,Mphil,Canada,Montreal,5th,B,1,Withdraw,Mathematical Economics
6401,Carlos Rodriguez,PHD24-GD-041,Graphic Design,Stanford University,PhD,United States,Berkeley,2nd,D,0,All Clear,None
6402,Sneha Ahmed,PHD22-GD-034,Graphic Design,University of Oxford,PhD,United Kingdom,Cambridge,1st,D,0,All Clear,None
6403,Anya Smith,BS23-SE-171,Software Engineering,Indian Institute of Technology (IIT) Delhi,BS,India,Chennai,2nd,B,0,All Clear,None
6404,Emily Martinez,MASTER24-CE-123,Civil Engineering,All India Institute of Medical Sciences (AIIMS),Master,India,New Delhi,1st,D,0,All Clear,None
6405,Noah Ahmed,MPHIL23-GD-211,Graphic Design,Universiti Malaya (UM),Mphil,Malaysia,Johor Bahru,1st,C,2,Dropped,"Critical Thinking, Packaging Design"
6406,Abdul Schmidt,PHD23-PST-064,Psychology,Heidelberg University,PhD,Germany,Karlsruhe,7th,B,0,All Clear,None
6407,Fatima Gonzalez,PHD23-GD-065,Graphic Design,Stanford University,PhD,United States,Stanford,5th,A,1,Dropped,Professional Ethics
6408,Zain Hassan,PHD22-EST-186,Economics,University of engineering and Technology (UET) Lahore,PhD,Pakistan,Lahore,3rd,B,0,All Clear,None
6409,Syed Al-Mansoori,MPHIL23-DA-147,Data Analytics,Universiti Malaya (UM),Mphil,Malaysia,Kuala Lumpur,1st,C,0,All Clear,None
6410,Fatima Garcia,MS25-GD-128,Graphic Design,All India Institute of Medical Sciences (AIIMS),MS,India,New Delhi,4th,B,0,All Clear,None
6411,Sarah Al-Farsi,MS24-CS-220,Computer Science,National University of Sciences and Technology (NUST),MS,Pakistan,Faisalabad,4th,B,0,All Clear,None
6412,Fatima Tan,PHD21-CS-100,Computer Science,Indian Institute of Science (IISc),PhD,India,Mumbai,2nd,D,0,All Clear,None
6413,Rahul Gonzalez,BS21-SE-133,Software Engineering,Indian Institute of Science (IISc),BS,India,Bangalore,3rd,D,1,Fail,Mobile Application Development
6414,Siddharth Martinez,PHD23-GD-006,Graphic Design,University of the Punjab,PhD,Pakistan,Rawalpindi,1st,C,0,All Clear,None
6415,Noah Singh,MPHIL22-ME-056,Mechanical Engineering,Indian Institute of Technology (IIT) Delhi,Mphil,India,Kolkata,4th,D,0,All Clear,None
6416,Anya Gonzalez,MS22-SE-218,Software Engineering,University of Toronto,MS,Canada,Edmonton,4th,B,1,Dropped,Pakistan Studies
6417,Fatima Anderson,PHD24-MST-192,Mathematics,McGill University,PhD,Canada,Vancouver,1st,B,0,All Clear,None
6418,Priya Lee,MASTER23-SST-165,Statistics,University College London (UCL),Master,United Kingdom,Manchester,7th,C,2,Not Registered,"Communication Skills, Bayesian Statistics"
